,Unnamed: 0,Unnamed: 0.1,max_leaf_nodes,max_depth,test_score,train_score,train_minus_test
0,0,8535,26,19,0.9074192048657398,0.9078397915744852,0.0004205867087453408
59,23,8400,26,13,0.9074192048657398,0.9078397915744852,0.0004205867087453408
68,2,7895,26,14,0.9074192048657398,0.9078397915744852,0.0004205867087453408
67,3,7041,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
66,4,7159,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
65,5,7160,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
64,6,8148,26,16,0.9074192048657398,0.9078397915744852,0.0004205867087453408
63,7,8147,26,15,0.9074192048657398,0.9078397915744852,0.0004205867087453408
62,8,8146,26,14,0.9074192048657398,0.9078397915744852,0.0004205867087453408
61,9,8144,26,12,0.9074192048657398,0.9078397915744852,0.0004205867087453408
60,10,8403,26,16,0.9074192048657398,0.9078397915744852,0.0004205867087453408
58,11,8143,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
46,49,7770,26,13,0.9074192048657398,0.9078397915744852,0.0004205867087453408
57,13,8141,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
56,14,8140,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
55,15,8139,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
54,16,7278,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
53,17,7279,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
52,18,8266,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
51,19,8267,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
50,20,8268,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
48,12,8142,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
69,22,8401,26,14,0.9074192048657398,0.9078397915744852,0.0004205867087453408
70,21,8269,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
71,24,8399,26,12,0.9074192048657398,0.9078397915744852,0.0004205867087453408
72,35,8271,26,12,0.9074192048657398,0.9078397915744852,0.0004205867087453408
1,59,7641,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
90,26,8397,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
89,27,8396,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
88,28,8395,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
87,29,8394,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
86,30,8276,26,17,0.9074192048657398,0.9078397915744852,0.0004205867087453408
85,31,8275,26,16,0.9074192048657398,0.9078397915744852,0.0004205867087453408
84,32,8274,26,15,0.9074192048657398,0.9078397915744852,0.0004205867087453408
83,33,8273,26,14,0.9074192048657398,0.9078397915744852,0.0004205867087453408
82,34,8272,26,13,0.9074192048657398,0.9078397915744852,0.0004205867087453408
81,37,7280,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
80,36,8270,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
79,25,8398,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
78,38,7398,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
77,39,7399,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
76,40,7643,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
75,41,7645,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
74,42,7646,26,12,0.9074192048657398,0.9078397915744852,0.0004205867087453408
73,43,7764,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
47,45,7766,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
49,44,7765,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
45,47,7768,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
12,46,7767,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
44,73,8014,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
20,50,7888,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
19,51,7889,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
18,52,7890,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
17,53,7891,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
16,54,7892,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
15,55,7893,26,12,0.9074192048657398,0.9078397915744852,0.0004205867087453408
14,56,7644,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
13,57,7642,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
11,58,7400,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
23,70,8017,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
10,60,7401,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
9,61,7519,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
8,62,7520,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
7,63,7521,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
6,64,7522,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
5,65,7523,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
4,66,8021,26,15,0.9074192048657398,0.9078397915744852,0.0004205867087453408
3,67,8020,26,14,0.9074192048657398,0.9078397915744852,0.0004205867087453408
2,68,8019,26,13,0.9074192048657398,0.9078397915744852,0.0004205867087453408
22,69,8018,26,12,0.9074192048657398,0.9078397915744852,0.0004205867087453408
21,48,7769,26,12,0.9074192048657398,0.9078397915744852,0.0004205867087453408
24,71,8016,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
35,82,8523,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
43,74,8013,26,7,0.9074192048657398,0.9078397915744852,0.0004205867087453408
42,75,8402,26,15,0.9074192048657398,0.9078397915744852,0.0004205867087453408
41,76,7894,26,13,0.9074192048657398,0.9078397915744852,0.0004205867087453408
40,77,8404,26,17,0.9074192048657398,0.9078397915744852,0.0004205867087453408
39,78,8529,26,13,0.9074192048657398,0.9078397915744852,0.0004205867087453408
38,79,8526,26,10,0.9074192048657398,0.9078397915744852,0.0004205867087453408
