n_estimators,criterion,max_depth,test_score,train_score,fit_time
25,mse,2,0.7659649636180699,0.8002002681691465,[0.04499412 0.04067087 0.04060411 0.04488778 0.04092503]
25,mse,3,0.8124200724550641,0.8616446818104236,[0.05361104 0.05035901 0.04823208 0.04870915 0.05064011]
25,mse,4,0.8405081700865822,0.8947121527591346,[0.06328201 0.0571909  0.05923772 0.05681682 0.05710101]
25,mse,5,0.8520525583328397,0.9133964231759996,[0.07164478 0.06943917 0.07031322 0.06975698 0.06949687]
25,mae,2,0.73657602757634,0.7625432429022915,[0.37379503 0.36557078 0.37200785 0.39369392 0.38612604]
25,mae,3,0.8080237846605332,0.8421017398317237,[0.51160502 0.50503683 0.52171206 0.520468   0.49737215]
25,mae,4,0.8395382095930838,0.8909081491619754,[0.62048507 0.61473608 0.61738801 0.59646797 0.57889485]
25,mae,5,0.8531787679703119,0.9147435086088626,[0.71715617 0.70087004 0.68132925 0.6819911  0.65343499]
26,mse,2,0.7659075385148014,0.8003671339722432,[0.04716587 0.04680872 0.04562902 0.04606891 0.05108285]
26,mse,3,0.8121663547205479,0.8619365028818082,[0.05822015 0.05569506 0.055722   0.05479908 0.05623507]
26,mse,4,0.8404149536315426,0.8948990694960558,[0.06592202 0.0640142  0.06467605 0.06321216 0.06589103]
26,mse,5,0.8516119409673191,0.9137504408853074,[0.07365513 0.07375002 0.07170105 0.0739572  0.07291222]
26,mae,2,0.7364540687371424,0.7622465325564408,[0.40601611 0.39192486 0.39678168 0.40774226 0.39542198]
26,mae,3,0.8082808401276786,0.8425900350762294,[0.54705071 0.52626204 0.54508686 0.52916193 0.50525999]
26,mae,4,0.8397744564599519,0.8910724615756844,[0.67002201 0.63654304 0.62803721 0.62119508 0.60661292]
26,mae,5,0.8528885919707121,0.9148899774878252,[0.74218798 0.73080206 0.7078259  0.71406817 0.6790359 ]
27,mse,2,0.7661264410044785,0.8005181789841844,[0.04935503 0.04766321 0.04676294 0.04808688 0.04872489]
27,mse,3,0.8121698320807959,0.8618637595486959,[0.05977821 0.05704093 0.0561161  0.05750513 0.05913329]
27,mse,4,0.8410028717862156,0.8949249868839658,[0.06939983 0.06536794 0.06472898 0.06532478 0.06522107]
27,mse,5,0.8520515355879997,0.9138895819397422,[0.07533097 0.07645011 0.07386923 0.07439017 0.07403207]
27,mae,2,0.7367615110520529,0.7625141016806104,[0.42205811 0.40925717 0.40763307 0.42066193 0.39142108]
27,mae,3,0.8086129927003762,0.8429586881872886,[0.5633719  0.53468013 0.55697107 0.53211212 0.52315593]
27,mae,4,0.840243396783465,0.8915677275288371,[0.68475199 0.67012978 0.65054607 0.64787078 0.63020492]
27,mae,5,0.8531319430004132,0.9150418709513746,[0.7665627  0.75777912 0.73097706 0.74879503 0.70451093]
28,mse,2,0.766561675756775,0.8005538521746652,[0.05062723 0.04900098 0.0498817  0.04923224 0.049263  ]
28,mse,3,0.8124048953802372,0.8618288959790448,[0.06001306 0.06021404 0.06037402 0.05901289 0.05921292]
28,mse,4,0.8414914257727475,0.8948185537486528,[0.06858802 0.06879711 0.068578   0.06891012 0.068398  ]
28,mse,5,0.8521665228635849,0.9136505760828829,[0.07785201 0.07815504 0.07745194 0.07873893 0.07899284]
