model,model_test_scores,fit_time,crossval_train_score,crossval_test_score,crossval_train_minus_test
Decision Tree,0.9009423049359156,7.577108860015869,0.9078397915744852,0.9074192048657398,0.0004205867087453408
Random Forest,0.8872364605342097,118.74500160217285,0.8987756961646512,0.8984290022473115,0.00034669391733976873
AdaBoost,0.8801931967321929,126.30640730857849,0.9059483753027016,0.9056070311746918,0.00034134412800979064
