max_leaf_nodes,max_depth,test_score,train_score,train_minus_test
19,9,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,10,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,11,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,12,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,13,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,14,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,15,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,16,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,17,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,18,0.8981078715289812,0.8986995527567936,0.0005916812278123906
19,19,0.8981078715289812,0.8986995527567936,0.0005916812278123906
20,3,0.8490414755930491,0.8494205853960326,0.0003791098029835016
20,4,0.8911306087481874,0.8916486588899646,0.0005180501417771932
20,5,0.8985674073192069,0.8992253531752805,0.000657945856073594
20,6,0.8995580629657507,0.900162532710232,0.0006044697444813618
20,7,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,8,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,9,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,10,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,11,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,12,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,13,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,14,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,15,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,16,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,17,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,18,0.8995737502712877,0.9001713254133813,0.000597575142093576
20,19,0.8995737502712877,0.9001713254133813,0.000597575142093576
21,3,0.8490414755930491,0.8494205853960326,0.0003791098029835016
21,4,0.8911306087481874,0.8916486588899646,0.0005180501417771932
21,5,0.8999100010868253,0.9005624315605243,0.0006524304736990061
21,6,0.9009137720114765,0.901583252424736,0.0006694804132595378
21,7,0.9009675310031208,0.9016051812226349,0.0006376502195141187
